,구별,소계,범죄발생총합,검거총합
0,강남구,2780,5194,3370
1,강남구,2780,3423,2362
2,강동구,773,5244,3171
3,강북구,748,4257,3113
4,관악구,1496,6345,3712
5,광진구,707,5909,3707
6,구로구,1561,5646,3502
7,금천구,1015,3781,2796
8,노원구,1265,5130,3268
9,도봉구,485,2664,1900
10,동대문구,1294,4720,3205
11,동작구,1091,4074,2397
12,마포구,574,5854,3597
13,서대문구,962,4029,2579
14,서초구,1930,4183,2714
15,서초구,1930,1261,736
16,성동구,1062,3358,2123
17,성북구,1464,2237,1498
18,성북구,1464,1917,1231
19,송파구,618,6778,4113
20,양천구,2034,5585,4190
21,양천구,2034,4528,2815
22,영등포구,904,6867,4154
23,용산구,1624,3820,2483
24,은평구,1873,2085,1393
25,은평구,1873,2660,1774
26,종로구,1002,2472,1589
27,종로구,1002,2233,1354
28,중구,671,2860,1716
29,중구,671,2094,1226
30,중랑구,660,5193,3405
